# timestamp, qw, qx, qy, qz, tx, ty, tz
1668497822919,-0.99591875,-0.08368283,-0.03380409,3.9240718E-4,-6.2369485,0.31419426,66.80856
1668497823669,-0.9957786,-0.07460377,-0.053467892,4.503131E-4,-6.3103766,0.32299972,67.43404
1668497824288,-0.9960791,-0.08359298,-0.02838778,-0.0057199895,-6.4385414,0.32170728,68.05511
1668497824942,-0.995468,-0.08283733,-0.046632364,-0.0025621057,-6.4637275,0.30960977,68.68069
1668497825691,-0.9950857,-0.09545836,-0.025634285,-0.005900383,-6.54097,0.29615527,69.39316
1668497826284,-0.9951368,-0.08320555,-0.052476242,-0.0050632358,-6.5601835,0.334043,69.82632
1668497826995,-0.9952073,-0.096626125,-0.014742613,0.002853036,-6.7043242,0.32095248,70.58273
1668497827756,-0.99462134,-0.083843775,-0.060652535,0.0044357777,-6.8361797,0.30375335,71.313805
1668497828359,-0.99536693,-0.08803939,-0.038364373,0.0046809614,-6.9383554,0.32622665,71.833435
1668497829044,-0.993614,-0.09680688,-0.05760885,0.006380558,-7.003737,0.28761652,72.6112
1668497829724,-0.99431396,-0.103180714,-0.024685226,-0.009169579,-7.0709915,0.29840547,73.24663
1668497830184,-0.9943671,-0.09025116,-0.054782078,-0.009358734,-7.098906,0.33914098,73.567566
1668497831002,-0.9958754,-0.08254328,-0.03688239,-0.007641852,-7.25476,0.348253,74.14525
1668497831623,-0.993404,-0.10599453,-0.042368613,0.010889471,-7.3069572,0.33151752,74.84425
1668497832343,-0.9953859,-0.09420429,-0.015387673,-0.009778738,-7.41083,0.3290383,75.59471
1668497832900,-0.9931946,-0.106266975,-0.045913875,0.012789577,-7.4461393,0.3406055,76.11053
1668497833613,-0.99308133,-0.11626067,-0.015306242,-0.006205499,-7.530042,0.35113442,76.67747
1668497834399,-0.99001235,-0.13585927,-0.036376085,-0.009719729,-7.5759225,0.31109607,77.40186
1668497834943,-0.99460554,-0.099546485,-0.022746935,-0.018241882,-7.6369452,0.3504183,77.84203
1668497835613,-0.99302995,-0.1094314,-0.04149765,-0.013930678,-7.6458416,0.34794384,78.44399
1668497836275,-0.9941427,-0.106365174,-0.011456955,-0.015335977,-7.7129498,0.35835174,79.04113
1668497836951,-0.99468017,-0.09560852,-0.038145244,0.0038870275,-7.7251406,0.3510492,79.6859
1668497837610,-0.9938719,-0.10215753,-0.042046893,-0.0037864745,-7.797753,0.33867058,80.353676
1668497838226,-0.99116373,-0.11045682,-0.07335716,-0.003517598,-7.8143535,0.345738,80.8835
1668497838971,-0.9946161,-0.09239088,-0.046861857,-0.0025705695,-7.9504166,0.33891147,81.59391
1668497839513,-0.9900644,-0.10580133,-0.09252365,0.0042280853,-7.9966,0.32516208,82.193405
1668497840177,-0.9930741,-0.1068527,-0.04696902,-0.0134148,-8.049856,0.33763415,82.72492
1668497840775,-0.96940273,-0.0783922,-0.2325311,-0.006497979,-8.064963,0.34886578,83.24718
1668497845172,-0.13622464,-0.02033472,0.9786171,-0.1527672,-8.523826,0.37033007,82.931145
1668497845765,-0.10114922,-0.011540741,0.9865105,-0.12818936,-8.441682,0.39525336,82.55273
1668497846493,-0.095619686,0.005996406,0.98692745,-0.12959589,-8.406455,0.3898948,82.05751
1668497847130,-0.08411784,0.004775405,0.9850379,-0.150338,-8.260563,0.37806866,81.413895
1668497847716,-0.097783364,-0.0017061532,0.98392534,-0.14941996,-8.223091,0.38148904,80.93283
1668497848375,-0.08294248,0.0076959133,0.9865542,-0.14061324,-8.0975065,0.38777328,80.38274
1668497849133,-0.09681097,-6.406903E-4,0.9859251,-0.1363038,-8.067782,0.3879086,79.76781
1668497849763,-0.07125774,-3.8734078E-4,0.9892514,-0.12768628,-7.965634,0.3980437,79.257744
1668497850424,-0.096224256,-0.013255149,0.98506105,-0.14219603,-7.8950505,0.39387965,78.57121
1668497851060,-0.093894295,0.01053378,0.98672736,-0.13206832,-7.8303576,0.40775293,77.993805
1668497851679,-0.095023945,0.0119151175,0.98532724,-0.14127459,-7.8325887,0.40235507,77.47254
1668497852313,-0.058812443,-0.011706322,0.9894258,-0.13206267,-7.763397,0.41247836,76.75754
1668497853068,-0.102653615,-0.036655426,0.98561287,-0.12917307,-7.7239223,0.41071725,76.08231
1668497853665,-0.07825124,-0.018395036,0.98608005,-0.14554802,-7.618901,0.4211646,75.55756
1668497854251,-0.08249679,-0.00560236,0.9907172,-0.107900396,-7.5653696,0.44050208,75.095665
1668497854949,-0.06277501,-0.014651269,0.99239135,-0.10489952,-7.4171324,0.44028214,74.53431
1668497855446,-0.058345336,-0.009206712,0.9944485,-0.08708146,-7.3691664,0.44249594,73.96696
1668497856133,-0.049195983,0.004689425,0.99449325,-0.092416726,-7.2330217,0.44570637,73.351295
1668497856752,-0.04669771,-0.0032229424,0.99518174,-0.08615181,-7.2012525,0.44647005,72.79697
1668497857493,-0.046447583,-0.00245139,0.9931948,-0.10677359,-7.09208,0.43952492,72.15578
1668497858131,-0.05733208,-0.0034745932,0.992387,-0.10894404,-7.074963,0.4310064,71.60406
1668497858866,-0.046652168,-0.0018679202,0.9930104,-0.10839935,-6.9488144,0.43885994,70.973946
1668497859489,-0.06273445,-0.009737849,0.9933908,-0.09562459,-6.9131093,0.45385128,70.421364
1668497860019,-0.052376226,-0.010495126,0.9941382,-0.09399828,-6.812538,0.4521345,69.927505
1668497860691,-0.06398152,-0.011605024,0.99116504,-0.11560011,-6.774007,0.4431954,69.26347
1668497861373,-0.046680495,0.0063845217,0.9938035,-0.10067071,-6.6680393,0.45850283,68.72666
1668497862001,-0.06981801,-0.006547153,0.9918043,-0.106801786,-6.6192155,0.46675727,68.11509
1668497862668,-0.0503802,-0.005539447,0.9934046,-0.10285024,-6.51363,0.47252455,67.569626
1668497863198,-0.073068574,3.8337708E-4,0.9917497,-0.105324656,-6.491346,0.46933576,66.99965
1668497863832,-0.045500867,0.0031639636,0.9947196,-0.0919367,-6.3951616,0.47323498,66.48112
1668497864512,-0.06212841,0.012434781,0.9941483,-0.087488964,-6.3244367,0.47542703,65.909325
1668497865236,-0.04002472,0.0036934316,0.99418616,-0.09989088,-6.1981897,0.46599093,65.24258
1668497865758,-0.05029676,0.0030674636,0.995443,-0.08095708,-6.153378,0.47694775,64.76218
1668497866717,-0.04761996,-0.0070602596,0.9951725,-0.08552202,-5.9328227,0.4573474,63.986256
1668497867087,-0.07089494,-0.0020929873,0.9944556,-0.0776362,-5.884122,0.47120914,63.559357
1668497867849,-0.028689226,0.009454727,0.9959868,-0.08424746,-5.733602,0.43727654,62.7953
1668497868357,-0.038950708,0.0036206245,0.9953582,-0.08793041,-5.7131443,0.45699042,62.381954
1668497869117,-0.019889936,0.006868869,0.99382627,-0.108934194,-5.6060643,0.41962206,61.562546
1668497869575,-0.028310113,0.010084838,0.99522007,-0.092916384,-5.6294265,0.4494364,61.318596
1668497870253,-0.035225622,0.0057412386,0.9940104,-0.10329298,-5.560963,0.4489405,60.622414
1668497870854,-0.04468204,-5.5006146E-4,0.9939059,-0.10076733,-5.5472465,0.45046166,60.01685
1668497871540,-0.059763834,0.0065044463,0.99232507,-0.108059525,-5.436637,0.4457257,59.48655
1668497872100,-0.050977767,0.005027026,0.9934484,-0.10215807,-5.4418163,0.45241213,58.942017
1668497872686,-0.039426602,0.011247158,0.9952173,-0.088664524,-5.3816295,0.459107,58.435955
1668497873284,-0.0598497,0.008984923,0.99357843,-0.095598646,-5.385304,0.4611592,57.851288
1668497874072,-0.070525944,-0.0030766726,0.99005556,-0.121681854,-5.2887697,0.44394767,57.234226
1668497874629,-0.08378634,0.007622719,0.9898248,-0.11475465,-5.2527056,0.4475389,56.752167
1668497875344,-0.074658655,-0.0011505187,0.9878346,-0.13640866,-5.0793467,0.4378169,56.078403
1668497875901,-0.07973654,0.0017492175,0.9898421,-0.11769206,-5.0492563,0.4495411,55.590954
1668497876627,-0.069634944,0.0013822615,0.99021673,-0.120911375,-4.9202437,0.45907995,55.043663
1668497877291,-0.062365614,-4.452765E-4,0.98977137,-0.12830698,-4.911604,0.47152227,54.447407
1668497877959,-0.051488742,6.1655045E-4,0.99123204,-0.12168534,-4.807526,0.471985,53.795914
1668497878428,-0.046420995,0.0060958266,0.99268126,-0.11131795,-4.8123684,0.47672042,53.428185
1668497879172,-0.053456064,-0.006893605,0.99380124,-0.09723084,-4.6743307,0.4895809,52.728462
1668497879762,-0.059683032,0.0016193688,0.99109674,-0.11900633,-4.6205964,0.47692633,52.12535
1668497880519,-0.03690208,-0.0025295615,0.99114424,-0.1275334,-4.4535456,0.44919956,51.358135
1668497881059,-0.044343635,-0.0033132136,0.990901,-0.12703434,-4.4403305,0.4499052,51.013527
1668497881831,-0.0447426,0.0049485564,0.9925065,-0.11359754,-4.3070583,0.45587996,50.273197
1668497882353,-0.07207432,0.003635794,0.9909847,-0.112878315,-4.3090644,0.44965354,49.729626
1668497883089,-0.1441544,-0.0132962465,0.98193103,-0.121877305,-4.229399,0.41664767,49.020428
1668497883631,-0.30849653,-0.037605137,0.9447441,-0.10427895,-4.1717734,0.41593653,48.629894
1668497887302,-0.7963363,-0.09612164,0.590235,-0.09072843,-1.5896761,0.46628436,47.568604
1668497888540,-0.778615,-0.09489098,0.6141217,-0.08722904,-0.50715363,0.4773067,47.83226
1668497889318,-0.7551592,-0.09807855,0.6426421,-0.08441669,0.18562877,0.47378078,47.989788
1668497889734,-0.75822306,-0.098397195,0.637742,-0.09327784,0.5759961,0.47585028,48.007786
1668497890373,-0.7604215,-0.092998385,0.63637614,-0.09019762,1.1185188,0.46520537,48.11325
1668497891043,-0.75706124,-0.08465007,0.639976,-0.10061419,1.7511568,0.46917927,48.156223
1668497891677,-0.7520921,-0.10876018,0.6401103,-0.113081336,2.2594264,0.4466657,48.234726
1668497892344,-0.7363434,-0.11378354,0.6549643,-0.1259894,2.8542306,0.43857872,48.245518
1668497893160,-0.7594937,-0.11614904,0.6294149,-0.11625633,3.6711807,0.44454452,48.348324
1668497893745,-0.764676,-0.1242055,0.62244403,-0.111386955,4.0648966,0.44399062,48.377426
1668497894369,-0.7626339,-0.09409484,0.63319206,-0.09275445,4.7483783,0.46105796,48.511593
1668497895097,-0.69800055,-0.10665083,0.6975271,-0.12196985,5.4324927,0.46010682,48.50558
1668497896364,-0.3413904,-0.02966842,0.9257269,-0.1600056,6.380421,0.48906824,48.152683
1668497901004,-0.6385677,-0.11478484,-0.75118756,0.121543795,4.6958303,0.43457317,46.8734
1668497901604,-0.6436806,-0.11164755,-0.7499608,0.10377294,4.1717076,0.43856212,46.894135
1668497902274,-0.65104055,-0.10219601,-0.7412833,0.12728378,3.5364969,0.44455996,46.79994
1668497902763,-0.6547545,-0.10865763,-0.73802495,0.12169281,3.1147969,0.44181305,46.8109
1668497903633,-0.6610496,-0.10406208,-0.73648024,0.098899335,2.3700688,0.45988452,46.753407
1668497904101,-0.673187,-0.09866154,-0.727696,0.08685273,1.5015768,0.25840297,46.766445
1668497904779,-0.6658442,-0.08873674,-0.7352791,0.09023222,0.86528563,0.2695363,46.696377
